probe	group	case	expected	observed	status
release	art types	plainRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	strokedRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	spike at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	roundJoin at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	bevelJoin at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	dashedStroke at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	bezier at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	openPath at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	compound at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	selfIntersecting at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	mixedGroup at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	nestedGroup at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	clipGroup at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	transformedGroup at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	pointText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	PASS
release	art types	areaText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 4.88e-04 pt; source geometry unchanged	PASS
release	art types	multilineText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	PASS
release	art types	strokedText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	differs from the destructive command by 4.03e-01 pt, and must: a stroke on live text is laid along the path again when the path is transformed destructively, while a live effect is handed the art the generator already produced. Adobe's own Transform effect differs from Adobe's own command here too (docs/evidence/generated-art.txt). Source geometry unchanged	EXPECTED
release	art types	asymmetricText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	PASS
release	art types	retypedText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	PASS
release	art types	resizedText at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	PASS
